,video_id,published_at,year_published,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,title,thumpnail,video_link,episode_number,title_new,total_like_dislike,like_ratio
1,VS5wg0p2-h4,11/27/2020 5:30,2020,388753,15797,293,0,4231,The Official Podcast #208: Australia Banned Hentai,https://i.ytimg.com/vi/VS5wg0p2-h4/mqdefault.jpg,https://www.youtube.com/watch?v=VS5wg0p2-h4,208, Australia Banned Hentai,16090,98
2,lXQPqGDvlJ0,11/20/2020 5:30,2020,156845,6495,94,0,818,The Official Podcast #207: Andrew's Assassination,https://i.ytimg.com/vi/lXQPqGDvlJ0/mqdefault.jpg,https://www.youtube.com/watch?v=lXQPqGDvlJ0,207, Andrew's Assassination,6589,99
3,Rg68p_PdjfU,11/13/2020 5:34,2020,2226709,103611,2044,0,13714,The Official Podcast #206: Belle Delphine Explains Everything,https://i.ytimg.com/vi/Rg68p_PdjfU/mqdefault.jpg,https://www.youtube.com/watch?v=Rg68p_PdjfU,206, Belle Delphine Explains Everything,105655,98
4,_0m3KWLKOWQ,11/6/2020 5:30,2020,287488,9139,147,0,1197,The Official Podcast #205: Back to Runescape Prison with Josh Pillault,https://i.ytimg.com/vi/_0m3KWLKOWQ/mqdefault.jpg,https://www.youtube.com/watch?v=_0m3KWLKOWQ,205, Back to Runescape Prison with Josh Pillault,9286,98
5,SshWxdMdNpk,10/23/2020 4:15,2020,142227,5136,132,0,820,The Official Podcast #203: Battlebots on the Moon,https://i.ytimg.com/vi/SshWxdMdNpk/mqdefault.jpg,https://www.youtube.com/watch?v=SshWxdMdNpk,203, Battlebots on the Moon,5268,97
6,kWiMTA1en44,10/16/2020 5:15,2020,165326,5405,110,0,811,The Official Podcast #202: Operation Destroy Sydney Opera House,https://i.ytimg.com/vi/kWiMTA1en44/mqdefault.jpg,https://www.youtube.com/watch?v=kWiMTA1en44,202, Operation Destroy Sydney Opera House,5515,98
7,nGFvwRTrHLY,10/9/2020 6:29,2020,303953,8975,332,0,1400,The Official Podcast #201: It's High Noon,https://i.ytimg.com/vi/nGFvwRTrHLY/mqdefault.jpg,https://www.youtube.com/watch?v=nGFvwRTrHLY,201, It's High Noon,9307,96
8,TS6nZhIZDLI,10/2/2020 5:31,2020,279115,9664,161,0,1110,The Official Podcast #200: The 200th Episode Celebration,https://i.ytimg.com/vi/TS6nZhIZDLI/mqdefault.jpg,https://www.youtube.com/watch?v=TS6nZhIZDLI,200, The 200th Episode Celebration,9825,98
9,TxcW-6Y0tXA,9/18/2020 5:39,2020,218349,8286,135,0,1315,The Official Podcast #198: America's Penis with Mista GG,https://i.ytimg.com/vi/TxcW-6Y0tXA/mqdefault.jpg,https://www.youtube.com/watch?v=TxcW-6Y0tXA,198, America's Penis with Mista GG,8421,98
10,T_cGXM6sEGU,9/11/2020 5:29,2020,334132,10559,233,0,1485,The Official Podcast #197: Charlie Exposed,https://i.ytimg.com/vi/T_cGXM6sEGU/mqdefault.jpg,https://www.youtube.com/watch?v=T_cGXM6sEGU,197, Charlie Exposed,10792,98
11,XdU9dAu-E2I,9/4/2020 5:37,2020,176494,7144,138,0,1164,The Official Podcast #196: Tik Tok Drama with FUNKe,https://i.ytimg.com/vi/XdU9dAu-E2I/mqdefault.jpg,https://www.youtube.com/watch?v=XdU9dAu-E2I,196, Tik Tok Drama with FUNKe,7282,98
12,L4UJ1gHkzaY,8/28/2020 5:48,2020,172831,6149,109,0,795,The Official Podcast #195: Culling the Animal Kingdom,https://i.ytimg.com/vi/L4UJ1gHkzaY/mqdefault.jpg,https://www.youtube.com/watch?v=L4UJ1gHkzaY,195, Culling the Animal Kingdom,6258,98
